segment_id,ts,vehicle_count,avg_speed_kmh,occupancy_pct,speed_limit_kmh,hour,day_of_week,is_weekend,is_rush,lag_1h,lag_24h,rolling_mean_3h,event_timestamp
agripas-00,2024-01-01 00:00:00,66,39.9,7.2,40,0,0,0,0,355.49849447975913,355.49849447975913,66.0,2024-01-01 00:00:00
agripas-00,2024-01-01 23:00:00,60,38.9,6.2,40,23,0,0,0,66.0,355.49849447975913,63.0,2024-01-01 23:00:00
agripas-00,2024-01-02 22:00:00,93,37.2,8.8,40,22,1,0,0,60.0,355.49849447975913,73.0,2024-01-02 22:00:00
agripas-00,2024-01-03 21:00:00,142,37.1,15.0,40,21,2,0,0,93.0,355.49849447975913,98.33333333333333,2024-01-03 21:00:00
agripas-00,2024-01-04 20:00:00,318,36.5,32.6,40,20,3,0,0,142.0,355.49849447975913,184.33333333333334,2024-01-04 20:00:00
agripas-00,2024-01-05 19:00:00,16,38.7,1.6,40,19,4,1,0,318.0,355.49849447975913,158.66666666666666,2024-01-05 19:00:00
agripas-00,2024-01-06 18:00:00,146,41.2,15.2,40,18,5,1,1,16.0,355.49849447975913,160.0,2024-01-06 18:00:00
agripas-00,2024-01-07 17:00:00,757,13.3,80.7,40,17,6,0,1,146.0,355.49849447975913,306.3333333333333,2024-01-07 17:00:00
agripas-00,2024-01-08 16:00:00,530,25.9,55.9,40,16,0,0,1,757.0,355.49849447975913,477.6666666666667,2024-01-08 16:00:00
agripas-00,2024-01-09 15:00:00,486,28.8,51.9,40,15,1,0,0,530.0,355.49849447975913,591.0,2024-01-09 15:00:00
agripas-00,2024-01-10 14:00:00,303,34.5,32.3,40,14,2,0,0,486.0,355.49849447975913,439.6666666666667,2024-01-10 14:00:00
agripas-00,2024-01-11 13:00:00,314,34.4,34.3,40,13,3,0,0,303.0,355.49849447975913,367.6666666666667,2024-01-11 13:00:00
agripas-00,2024-01-12 12:00:00,648,20.1,68.1,40,12,4,1,0,314.0,355.49849447975913,421.6666666666667,2024-01-12 12:00:00
agripas-00,2024-01-13 11:00:00,74,38.8,6.9,40,11,5,1,0,648.0,355.49849447975913,345.3333333333333,2024-01-13 11:00:00
agripas-00,2024-01-14 10:00:00,379,31.6,42.2,40,10,6,0,0,74.0,355.49849447975913,367.0,2024-01-14 10:00:00
agripas-00,2024-01-15 09:00:00,733,17.5,75.7,40,9,0,0,1,379.0,355.49849447975913,395.3333333333333,2024-01-15 09:00:00
agripas-00,2024-01-16 08:00:00,665,15.6,73.8,40,8,1,0,1,733.0,355.49849447975913,592.3333333333334,2024-01-16 08:00:00
agripas-00,2024-01-17 07:00:00,525,25.3,57.1,40,7,2,0,1,665.0,355.49849447975913,641.0,2024-01-17 07:00:00
agripas-00,2024-01-18 06:00:00,256,35.0,26.2,40,6,3,0,0,525.0,355.49849447975913,482.0,2024-01-18 06:00:00
agripas-00,2024-01-19 05:00:00,116,38.7,9.7,40,5,4,1,0,256.0,355.49849447975913,299.0,2024-01-19 05:00:00
agripas-00,2024-01-20 04:00:00,72,40.2,7.7,40,4,5,1,0,116.0,355.49849447975913,148.0,2024-01-20 04:00:00
agripas-00,2024-01-21 03:00:00,53,38.6,6.1,40,3,6,0,0,72.0,355.49849447975913,80.33333333333333,2024-01-21 03:00:00
agripas-00,2024-01-22 02:00:00,58,38.5,6.5,40,2,0,0,0,53.0,355.49849447975913,61.0,2024-01-22 02:00:00
agripas-00,2024-01-23 01:00:00,51,39.8,5.8,40,1,1,0,0,58.0,355.49849447975913,54.0,2024-01-23 01:00:00
agripas-00,2024-01-24 00:00:00,62,37.9,6.2,40,0,2,0,0,51.0,66.0,57.0,2024-01-24 00:00:00
agripas-00,2024-01-24 23:00:00,64,41.4,5.6,40,23,2,0,0,62.0,60.0,59.0,2024-01-24 23:00:00
agripas-00,2024-01-25 22:00:00,85,40.5,8.6,40,22,3,0,0,64.0,93.0,70.33333333333333,2024-01-25 22:00:00
agripas-00,2024-01-26 21:00:00,15,39.9,1.2,40,21,4,1,0,85.0,142.0,54.666666666666664,2024-01-26 21:00:00
agripas-00,2024-01-27 20:00:00,346,32.4,36.9,40,20,5,1,0,15.0,318.0,148.66666666666666,2024-01-27 20:00:00
agripas-00,2024-01-28 19:00:00,515,28.6,52.9,40,19,6,0,0,346.0,16.0,292.0,2024-01-28 19:00:00
